#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot              
       5.413927276022e-05      -1.838019687754e-02      -1.387690216625e-02      -1.387691660609e-02      -1.837531968202e-02      -1.387992760465e-02 
       5.540033842271e-05      -1.924038266955e-02      -1.453087866010e-02      -1.453089449195e-02      -1.923503621111e-02      -1.453404318450e-02 
       5.669077807794e-05      -2.014052646929e-02      -1.521567402473e-02      -1.521569138262e-02      -2.013466568318e-02      -1.521898385374e-02 
       5.801127593410e-05      -2.108245563243e-02      -1.593274047005e-02      -1.593275950101e-02      -2.107603111420e-02      -1.593620208317e-02 
       5.936253213663e-05      -2.206807839813e-02      -1.668359876832e-02      -1.668361963331e-02      -2.206103607190e-02      -1.668721891490e-02 
       6.074526313946e-05      -2.309938699630e-02      -1.746984110399e-02      -1.746986398005e-02      -2.309166745281e-02      -1.747362681327e-02 
       6.216020208486e-05      -2.417846115436e-02      -1.829313489179e-02      -1.829315997251e-02      -2.416999942245e-02      -1.829709348147e-02 
       6.360809919219e-05      -2.530747163716e-02      -1.915522603770e-02      -1.915525353532e-02      -2.529819652755e-02      -1.915936512390e-02 
       6.508972215567e-05      -2.648868375240e-02      -2.005794259072e-02      -2.005797273820e-02      -2.647851720608e-02      -2.006227009786e-02 
       6.660585655139e-05      -2.772446136051e-02      -2.100319887034e-02      -2.100323192305e-02      -2.771331779026e-02      -2.100772304061e-02 
       6.815730625390e-05      -2.901727025895e-02      -2.199299933672e-02      -2.199303557423e-02      -2.900505604174e-02      -2.199772873935e-02 
       6.974489386235e-05      -3.036968252127e-02      -2.302944285776e-02      -2.302948258668e-02      -3.035629505287e-02      -2.303438639908e-02 
       7.136946113671e-05      -3.178438044879e-02      -2.411472719477e-02      -2.411477075117e-02      -3.176970727202e-02      -2.411989412763e-02 
       7.303186944405e-05      -3.326416053243e-02      -2.525115366495e-02      -2.525120141703e-02      -3.324807857767e-02      -2.525655359784e-02 
       7.473300021525e-05      -3.481193802778e-02      -2.644113189939e-02      -2.644118425134e-02      -3.479431229010e-02      -2.644677480639e-02 
       7.647375541239e-05      -3.643075107641e-02      -2.768718517895e-02      -2.768724257405e-02      -3.641143370368e-02      -2.769308140821e-02 
       7.825505800689e-05      -3.812376485223e-02      -2.899195549927e-02      -2.899201842179e-02      -3.810259405996e-02      -2.899811577994e-02 
       8.007785246897e-05      -3.989427697766e-02      -3.035820942806e-02      -3.035827841115e-02      -3.987107526865e-02      -3.036464488168e-02 
