       1.055631686263e-05       1.415977205976e+01 
       1.080220506983e-05       1.447625478225e+01 
       1.105382074914e-05       1.479981039287e+01 
       1.131129731052e-05       1.513059735425e+01 
       1.157477127146e-05       1.546878051990e+01 
       1.184438232934e-05       1.581451992925e+01 
       1.212027343550e-05       1.616798515498e+01 
       1.240259087108e-05       1.652935242255e+01 
       1.269148432450e-05       1.689879804576e+01 
       1.298710697090e-05       1.727649617988e+01 
       1.328961555332e-05       1.766264034469e+01 
       1.359917046582e-05       1.805741489535e+01 
       1.391593583850e-05       1.846101221943e+01 
       1.424007962457e-05       1.887362870836e+01 
       1.457177368934e-05       1.929546744532e+01 
       1.491119390141e-05       1.972673580922e+01 
       1.525852022585e-05       2.016764130214e+01 
       1.561393681968e-05       2.061840351214e+01 
       1.597763212950e-05       2.107923804890e+01 
       1.634979899135e-05       2.155037456799e+01 
       1.673063473305e-05       2.203204012023e+01 
       1.712034127874e-05       2.252447057896e+01 
       1.751912525599e-05       2.302790698808e+01 
       1.792719810534e-05       2.354259470909e+01 
       1.834477619243e-05       2.406878248008e+01 
       1.877208092267e-05       2.460673815790e+01 
       1.920933885870e-05       2.515671112836e+01 
       1.965678184045e-05       2.571897916699e+01 
       2.011464710812e-05       2.629381224222e+01 
       2.058317742794e-05       2.688149296580e+01 
       2.106262122089e-05       2.748230784571e+01 
       2.155323269440e-05       2.809655113952e+01 
       2.205527197717e-05       2.872452073714e+01 
       2.256900525709e-05       2.936652794233e+01 
       2.309470492232e-05       3.002288188232e+01 
       2.363264970581e-05       3.069390400605e+01 
       2.418312483298e-05       3.137992508836e+01 
       2.474642217304e-05       3.208127617652e+01 
       2.532284039369e-05       3.279830301369e+01 
       2.591268511951e-05       3.353135439240e+01 
       2.651626909397e-05       3.428078990188e+01 
       2.713391234529e-05       3.504697291002e+01 
       2.776594235609e-05       3.583027995972e+01 
       2.841269423706e-05       3.663109212247e+01 
       2.907451090460e-05       3.744980173132e+01 
       2.975174326267e-05       3.828680739584e+01 
       3.044475038883e-05       3.914251844937e+01 
       3.115389972462e-05       4.001735374328e+01 
       3.187956727042e-05       4.091174025906e+01 
       3.262213778477e-05       4.182611351212e+01 
       3.338200498837e-05       4.276092098780e+01 
       3.415957177288e-05       4.371661928472e+01 
       3.495525041450e-05       4.469367472835e+01 
       3.576946279258e-05       4.569256469739e+01 
       3.660264061329e-05       4.671377701571e+01 
       3.745522563855e-05       4.775781039899e+01 
       3.832766992022e-05       4.882517398405e+01 
       3.922043603981e-05       4.991638965638e+01 
       4.013399735374e-05       5.103198969964e+01 
       4.106883824429e-05       5.217251883038e+01 
       4.202545437650e-05       5.333853398110e+01 
       4.300435296088e-05       5.453060467890e+01 
       4.400605302244e-05       5.574931225034e+01 
       4.503108567580e-05       5.699525215354e+01 
       4.607999440684e-05       5.826903198080e+01 
       4.715333536085e-05       5.957127362939e+01 
       4.825167763743e-05       6.090261255632e+01 
       4.937560359217e-05       6.226369924819e+01 
       5.052570914550e-05       6.365519710343e+01 
       5.170260409860e-05       6.507778526595e+01 
       5.290691245677e-05       6.653215821220e+01 
       5.413927276022e-05       6.801902496115e+01 
       5.540033842271e-05       6.953911132520e+01 
       5.669077807794e-05       7.109315880112e+01 
       5.801127593410e-05       7.268192512436e+01 
       5.936253213663e-05       7.430618614463e+01 
       6.074526313946e-05       7.596673292393e+01 
       6.216020208486e-05       7.766437590305e+01 
       6.360809919219e-05       7.939994303551e+01 
       6.508972215567e-05       8.117427981600e+01 
       6.660585655139e-05       8.298825169640e+01 
       6.815730625390e-05       8.484274300090e+01 
       6.974489386235e-05       8.673865754651e+01 
       7.136946113671e-05       8.867691936649e+01 
       7.303186944405e-05       9.065847314478e+01 
       7.473300021525e-05       9.268428393768e+01 
       7.647375541239e-05       9.475533915882e+01 
       7.825505800689e-05       9.687264710893e+01 
       8.007785246897e-05       9.903723938193e+01 
       8.194310526839e-05       1.012501701184e+02 
       8.385180538687e-05       1.035125157583e+02 
       8.580496484247e-05       1.058253790242e+02 
       8.780361922620e-05       1.081898853020e+02 
       8.984882825106e-05       1.106071843747e+02 
       9.194167631394e-05       1.130784525961e+02 
       9.408327307060e-05       1.156048924297e+02 
       9.627475402398e-05       1.181877322221e+02 
       9.851728112630e-05       1.208282279192e+02 
       1.008120433951e-04       1.235276630703e+02 
       1.031602575437e-04       1.262873494853e+02 
       1.055631686263e-04       1.291086279544e+02 
       1.080220506983e-04       1.319928685937e+02 
       1.105382074914e-04       1.349414724989e+02 
       1.131129731052e-04       1.379558702806e+02 
       1.157477127146e-04       1.410375255744e+02 
       1.184438232934e-04       1.441879330506e+02 
       1.212027343550e-04       1.474086204367e+02 
       1.240259087108e-04       1.507011493204e+02 
       1.269148432450e-04       1.540671152021e+02 
       1.298710697090e-04       1.575081489425e+02 
       1.328961555332e-04       1.610259164795e+02 
       1.359917046582e-04       1.646221207356e+02 
       1.391593583850e-04       1.682985016762e+02 
       1.424007962457e-04       1.720568370893e+02 
       1.457177368934e-04       1.758989436215e+02 
       1.491119390141e-04       1.798266775329e+02 
       1.525852022585e-04       1.838419354732e+02 
       1.561393681968e-04       1.879466549766e+02 
       1.597763212950e-04       1.921428157972e+02 
       1.634979899135e-04       1.964324408056e+02 
       1.673063473305e-04       2.008175963008e+02 
       1.712034127874e-04       2.053003933495e+02 
       1.751912525599e-04       2.098829884621e+02 
       1.792719810534e-04       2.145675845509e+02 
       1.834477619243e-04       2.193564318951e+02 
       1.877208092267e-04       2.242518290658e+02 
       1.920933885870e-04       2.292561239199e+02 
